Name,Easting,Northing,Elevation (m NAVD),Longitude,Latitude
T08 Q5,103051.959,535534.897,-0.279,-82.99656428,29.16325793
T08 Q3,103053.723,535534.987,-0.233,-82.99654616,29.16325887
T08 Q2,103054.827,535535.208,-0.222,-82.99653483,29.16326095
T08 Q1,103056.142,535533.697,-0.273,-82.99652119,29.16324742
T08 Q4,103059.394,535535.584,-0.321,-82.99648792,29.16326469
T09 Q4,103065.465,535536.261,-0.224,-82.99642559,29.16327127
T09 Q3,103066.878,535535.022,-0.261,-82.99641095,29.1632602
T09 Q1,103068.641,535535.13,-0.314,-82.99639284,29.1632613
T09 Q5,103070.476,535535.286,-0.293,-82.996374,29.16326285
T09 Q2,103071.673,535535.392,-0.26,-82.9963617,29.1632639
T10 Q1,103084.896,535537.439,-0.381,-82.99622597,29.16328337
T10 Q5,103087.446,535537.465,-0.301,-82.99619977,29.1632838
T10 Q2,103088.613,535537.683,-0.276,-82.99618779,29.16328586
T10 Q3,103092.175,535539.106,-0.304,-82.99615131,29.16329897
T10 Q4,103093.569,535537.928,-0.39,-82.99613688,29.16328845
T11 Q3,103100.379,535537.804,-0.39,-82.99606688,29.16328786
T11 Q2,103101.72,535538.979,-0.314,-82.9960532,29.16329856
T11 Q1,103105.121,535537.464,-0.397,-82.9960181,29.16328515
T11 Q4,103106.616,535538.527,-0.289,-82.99600283,29.16329485
T11 Q5,103107.701,535537.199,-0.387,-82.99599157,29.16328295
T12 Q3,103115.137,535539.063,-0.308,-82.9959153,29.16330034
T12 Q1,103116.917,535538.536,-0.346,-82.99589696,29.16329572
T12 Q5,103119.683,535541.214,-0.269,-82.99586876,29.16332009
T12 Q4,103120.84,535541.545,-0.189,-82.9958569,29.16332316
T12 Q2,103122.411,535540.941,-0.283,-82.9958407,29.16331783
T13 Q4,103128.409,535544.152,-0.233,-82.99577933,29.16334726
T13 Q2,103129.704,535544.731,-0.288,-82.99576607,29.16335259
T13 Q3,103130.544,535546.289,-0.297,-82.99575757,29.1633667
T13 Q1,103134.774,535545.49,-0.322,-82.99571402,29.16335982
T13 Q5,103135.683,535546.013,-0.242,-82.99570473,29.1633646
T14 Q3,103142.467,535547.428,-0.28,-82.99563513,29.16337789
T14 Q1,103143.874,535546.213,-0.245,-82.99562056,29.16336703
T14 Q5,103147.502,535547.672,-0.196,-82.9955834,29.16338048
T14 Q4,103148.971,535546.572,-0.282,-82.9955682,29.16337067
T14 Q2,103149.748,535546.148,-0.334,-82.99556018,29.16336689
T15 Q5,103155.172,535545.263,-0.358,-82.99550436,29.16335933
T15 Q4,103157.445,535544.171,-0.371,-82.9954809,29.16334965
T15 Q1,103158.308,535543.714,-0.37,-82.99547199,29.16334559
T15 Q2,103161.138,535543.904,-0.345,-82.99544292,29.16334752
T15 Q3,103161.823,535542.088,-0.398,-82.99543572,29.1633312
T01 Q4,102947.119,535502.235,-0.178,-82.99763899,29.16295525
T01 Q3,102948.153,535502.902,-0.279,-82.99762842,29.16296135
T01 Q1,102949.594,535503.485,-0.207,-82.99761366,29.16296671
T01 Q5,102951.722,535506.301,-0.19,-82.99759204,29.16299229
T01 Q2,102952.848,535507.082,-0.287,-82.99758052,29.16299942
T02 Q1,102958.094,535510.261,-0.317,-82.99752689,29.1630285
T02 Q2,102959.319,535510.866,-0.313,-82.99751435,29.16303404
T02 Q5,102961.335,535512.182,-0.32,-82.99749375,29.16304607
T02 Q3,102962.426,535512.732,-0.335,-82.99748258,29.16305112
T02 Q4,102964.176,535512.659,-0.393,-82.99746458,29.16305059
T03 Q2,102971.709,535518.623,-0.35,-82.99738768,29.16310497
T03 Q4,102973.227,535517.921,-0.254,-82.99737201,29.16309876
T03 Q5,102975.121,535519.924,-0.239,-82.99735272,29.16311697
T03 Q3,102977.766,535520.061,-0.32,-82.99732555,29.16311841
T03 Q1,102978.989,535520.732,-0.359,-82.99731304,29.16312456
T04 Q1,102988.712,535522.638,-0.315,-82.99721328,29.1631425
T04 Q2,102989.844,535523.165,-0.284,-82.99720168,29.16314734
T04 Q3,102991.456,535522.912,-0.23,-82.99718509,29.16314518
T04 Q4,102991.991,535524.163,-0.231,-82.99717971,29.1631565
T04 Q5,102993.081,535524.536,-0.203,-82.99716854,29.16315996
T05 Q4,103003.576,535524.429,-0.318,-82.99706066,29.16315979
T05 Q5,103004.641,535524.465,-0.267,-82.99704971,29.16316019
T05 Q3,103005.5,535526.045,-0.175,-82.99704102,29.16317452
T05 Q1,103010.427,535525.799,-0.317,-82.99699036,29.16317267
T05 Q2,103011.465,535527.267,-0.275,-82.99697982,29.163186
T06 Q5,103017.615,535528.643,-0.351,-82.99691673,29.16319888
T06 Q4,103018.659,535528.943,-0.342,-82.99690603,29.16320166
T06 Q2,103021.101,535529.646,-0.35,-82.99688098,29.16320819
T06 Q3,103022.548,535528.717,-0.405,-82.99686603,29.16319993
T06 Q1,103025.748,535530.873,-0.351,-82.99683333,29.16321962
T07 Q4,103036.452,535532.475,-0.391,-82.99672345,29.16323489
T07 Q3,103037.368,535533.673,-0.33,-82.99671414,29.16324577
T07 Q1,103040,535532.824,-0.416,-82.99668701,29.16323831
T07 Q2,103043.533,535534.241,-0.349,-82.99665083,29.16325136
T07 Q5,103044.715,535534.382,-0.349,-82.9966387,29.16325273